what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605294718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605295078
error,log,,,"Unable to read repository at http://download.eclipse.org/mylyn/releases/3.6.",1347605302531
error,log,,,"Unable to read repository at http://download.eclipse.org/koneki/updates-nightly/ldt.",1347605302843
error,log,,,"Unable to read repository at http://download.eclipse.org/releases/indigo/201106220900.",1347605303140
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/ptp/updates/indigo/.",1347605303468
error,log,,,"Unable to read repository at http://download.eclipse.org/mylyn/releases/indigo.",1347605303796
error,log,,,"Unable to read repository at http://download.eclipse.org/technology/actf/0.9/update-site/.",1347605304109
error,log,,,"Unable to read repository at http://download.eclipse.org/birt/update-site/3.7.",1347605304421
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/orbit/downloads/drops/R20120119162704/repository.",1347605304718
error,log,,,"Unable to read repository at http://www.mia-software.com/html/miaStudio/download/modisco/updates/content.xml.",1347605305015
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/m2t/updates/releases/content.xml.",1347605308578
error,log,,,"Unable to read repository at http://download.eclipse.org/windowbuilder/WB/integration/3.7/content.xml.",1347605309187
error,log,,,"Unable to read repository at http://www.soyatec.com/update/site.xml.",1347605330921
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/emft/updates/releases/content.xml.",1347605331453
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/emft/eef/updates/0.7.1/content.xml.",1347605331984
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/tmf/updates/compositeContent.xml.",1347605332515
error,log,,,"Unable to read repository at http://www.eclipse.org/modeling/updates/compositeContent.xml.",1347605333031
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/gmt/modisco/updates/content.xml.",1347605354484
error,log,,,"Unable to read repository at http://download.eclipse.org/datatools/updates/content.xml.",1347605354984
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/gef/updates/releases/content.xml.",1347605355515
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/mdt/updates/content.xml.",1347605356031
error,log,,,"Unable to read repository at http://download.eclipse.org/releases/indigo.",1347605359468
error,log,,,"Error reading update site http://www.eclipse.org/modeling/emft/updates/.",1347605359765
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/cdt/releases/indigo.",1347605360046
error,log,,,"Unable to read repository at http://download.eclipse.org/stp/updates/.",1347605360343
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/mdt/papyrus/updates/releases/.",1347605360640
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/emft/mwe/updates/.",1347605360921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605373734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605374109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605375671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605377312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605379031
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1347605381281
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1347605381281
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1347605382546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605390140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605396203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347605410625
